keyword|datatype|comment
BIASFILE|string|Master bias file used (except for bias exposures)
DARKFILE|string|Master dark file used (except for dark exposures)
FLATFILE|string|Master flat file used (except for ?? exposures)
BIASDIR|string|Directory for BIASDIR (keyword to be added)
DARKDIR|string|Directory for DARKDIR (keyword to be added)
FLATDIR|string|Directory for FLATDIR (keyword to be added)
DRPTAG|string|Git version number of KPF-Pipeline used for processing
DRPHASH|string|Git commit hash version of KPF-Pipeline used for processing
NOTJUNK|float|Quality Control: 1 = not in the list of junk files check; this QC is rerun on L1 and L2
DATAPRL0|float|Quality Control: 1 = L0 data products present with non-zero array sizes
KWRDPRL0|float|Quality Control: 1 = L0 expected keywords present
TIMCHKL0|string|Quality Control: 1 = consistent times in L0 file
EMSAT|float|Quality Control: 1 = Exp Meter not saturated; 0 = 2+ reduced EM pixels within 90% of saturation in EM-SCI or EM-SKY
EMNEG|float|Quality Control: 1 = Exp Meter not negative flux; 0 = 20+ consecutive pixels in summed spectra with negative flux
RNRED1|float|Read noise for RED_AMP1 [e-] (first amplifier region on Red CCD)
RNRED2|float|Read noise for RED_AMP2 [e-] (second amplifier region on Red CCD)
RNGREEN1|float|Read noise for GREEN_AMP1 [e-] (first amplifier region on Green CCD)
RNGREEN2|float|Read noise for GREEN_AMP2 [e-] (second amplifier region on Green CCD)
GREENTRT|float|Green CCD read time [sec]
REDTRT|float|Red CCD read time [sec]
READSPED|string|Categorization of CCD read speed ('regular' or 'fast')
FLXREG1G|float|Dark current [e-/hr] - Green CCD region 1 - coords = [1690:1990,1690:1990]
FLXREG2G|float|Dark current [e-/hr] - Green CCD region 2 - coords = [1690:1990,2090:2390]
FLXREG3G|float|Dark current [e-/hr] - Green CCD region 3 - coords = [2090:2390,1690:1990]
FLXREG4G|float|Dark current [e-/hr] - Green CCD region 4 - coords = [2090:2390,2090:2390]
FLXREG5G|float|Dark current [e-/hr] - Green CCD region 5 - coords = [80:380,3080:3380]
FLXREG6G|float|Dark current [e-/hr] - Green CCD region 6 - coords = [1690:1990,1690:1990]
FLXAMP1G|float|Dark current [e-/hr] - Green CCD amplifier region 1 - coords = [3700:4000,700:1000]
FLXAMP2G|float|Dark current [e-/hr] - Green CCD amplifier region 2 - coords = [3700:4000,3080:3380]
FLXCOLLG|float|Dark current [e-/hr] - Green CCD collimator-side region = [3700:4000,700:1000]
FLXECHG| float|Dark current [e-/hr] - Green CCD echelle-side region = [3700:4000,700:1000]
FLXREG1R|float|Dark current [e-/hr] - Red CCD region 1 - coords = [1690:1990,1690:1990]
FLXREG2R|float|Dark current [e-/hr] - Red CCD region 2 - coords = [1690:1990,2090:2390]
FLXREG3R|float|Dark current [e-/hr] - Red CCD region 3 - coords = [2090:2390,1690:1990]
FLXREG4R|float|Dark current [e-/hr] - Red CCD region 4 - coords = [2090:2390,2090:2390]
FLXREG5R|float|Dark current [e-/hr] - Red CCD region 5 - coords = [80:380,3080:3380]
FLXREG6R|float|Dark current [e-/hr] - Red CCD region 6 - coords = [1690:1990,1690:1990]
FLXAMP1R|float|Dark current [e-/hr] - Red CCD amplifier region 1 = [3700:4000,700:1000]
FLXAMP2R|float|Dark current [e-/hr] - Red CCD amplifier region 2 = [3700:4000,3080:3380]
FLXCOLLR|float|Dark current [e-/hr] - Red CCD collimator-side region = [3700:4000,700:1000]
FLXECHR|float|Dark current [e-/hr] - Red CCD echelle-side region = [3700:4000,700:1000]
GDRXRMS|float|x-coordinate RMS guiding error in milliarcsec (mas)
GDRYRMS|float|y-coordinate RMS guiding error in milliarcsec (mas)
GDRRRMS|float|r-coordinate RMS guiding error in milliarcsec (mas)
GDRXBIAS|float|x-coordinate bias guiding error in milliarcsec (mas)
GDRYBIAS|float|y-coordinate bias guiding error in milliarcsec (mas)
GDRSEEJZ|float|Seeing (arcsec) in J+Z-band from Moffat func fit
GDRSEEV|float|Scaled seeing (arcsec) in V-band from J+Z-band
MOONSEP|float|Separation between Moon and target star (deg)
SUNALT|float|Altitude of Sun (deg); negative = below horizon
SKYSCIMS|float|SKY/SCI flux ratio in main spectrometer scaled from EM data. 
EMSCCT48|float|cumulative EM counts [ADU] in SCI in 445-870 nm
EMSCCT45|float|cumulative EM counts [ADU] in SCI in 445-551 nm
EMSCCT56|float|cumulative EM counts [ADU] in SCI in 551-658 nm
EMSCCT67|float|cumulative EM counts [ADU] in SCI in 658-764 nm
EMSCCT78|float|cumulative EM counts [ADU] in SCI in 764-870 nm
EMSKCT48|float|cumulative EM counts [ADU] in SKY in 445-870 nm
EMSKCT45|float|cumulative EM counts [ADU] in SKY in 445-551 nm
EMSKCT56|float|cumulative EM counts [ADU] in SKY in 551-658 nm
EMSKCT67|float|cumulative EM counts [ADU] in SKY in 658-764 nm
EMSKCT78|float|cumulative EM counts [ADU] in SKY in 764-870 nm
